FIBER,PETAL,ORIGINALLY_ASSIGNED_TARGETBIT,ORIGINALLY_ASSIGNED_TARGET_RA,ORIGINALLY_ASSIGNED_TARGET_DEC,OROGINALLY_ASSINED_FIBER_X,ORIGINALLY_ASSIGNED_FIBER_Y,ASSIGNED_TARGETBIT_IN_DITHERED_TILE,ASSIGNED_TARGET_RA,ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X,ASSIGNED_FIBER_Y,DELTA_RA(DITHERED-ORIGINAL)[degrees],DELTA_DEC(DITHERED-ORIGINAL)[degrees],FIBER_DELTA_X(DITHERED-ORIGINAL)[mm],FIBER_DELTA_Y(DITHERED-ORIGINAL)[mm]
38,0,32,20.34500348188595,29.446113960698074,71.67773,-280.40637,4294967296,20.323157000510623,29.46767263560737,76.563156,-274.79962,-0.019024318607806318,0.021558674909297082,4.8854294,5.6067505
39,0,32,20.491201332455002,29.445596363289486,39.98205,-280.34555,32,20.488166805932934,29.44677560878978,40.85958,-280.0106,-0.002642535097491418,0.0011792455002925806,0.87752914,0.33496094
40,0,40,20.707550678591602,29.55470123571416,-6.787313,-252.17224,40,20.707937802088573,29.55494802763364,-6.670008,-252.11452,0.00033675299066637,0.0002467919194799606,0.1173048,0.057724
41,0,4294967296,20.65494127565995,29.509220422618448,4.542004,-263.8399,33,20.642090847808397,29.49538640701777,7.5301085,-267.3961,-0.011183424610264302,-0.013834015600679095,2.9881043,-3.5561829
42,0,33,20.74625239288333,29.608655660290466,-15.080318,-238.40659,33,20.74125427714711,29.58559549994593,-13.826712,-244.29445,-0.004345463282315216,-0.023060160344535063,1.2536068,-5.887863
43,0,33,20.656305710883785,29.602480316835177,4.230352,-239.97005,33,20.656971918515442,29.603709254895037,4.277708,-239.65361,0.0005792499119337566,0.0012289380598602406,0.04735613,0.31643677
44,0,33,20.486110146916882,29.529435892376185,40.924606,-258.7287,545,20.45312586964205,29.538887273159762,48.224735,-256.29596,-0.028699705313356853,0.009451380783577434,7.300129,2.4327393
45,0,33,20.6764981230769,29.549841603882328,-0.10569731,-253.41425,33,20.66182394570438,29.563550771176505,3.2493496,-249.9038,-0.012765463207485296,0.01370916729417715,3.355047,3.5104523
46,0,32,20.350086212019647,29.50659962255807,70.374146,-264.7662,32,20.351320343015853,29.50803886836398,70.31261,-264.33774,0.0010740629351987032,0.0014392458059084845,-0.061538696,0.4284668
47,0,545,20.53610352955831,29.555284159374047,30.10954,-252.06432,545,20.536791569679345,29.554561758620103,30.162977,-252.22493,0.0005985124478123599,-0.0007224007539434751,0.05343628,-0.16061401
48,0,545,20.71778055727372,29.655392200798804,-8.950212,-226.52663,545,20.720232646862325,29.658118747731088,-9.294925,-225.8434,0.0021309075183007543,0.002726546932283469,-0.3447132,0.68322754
49,0,4294967296,20.48731854524896,29.481332351707056,40.753845,-271.10938,33,20.469142956013684,29.500674743957685,44.855133,-266.1048,-0.015822142823831747,0.019342392250628393,4.101288,5.0045776
50,0,40,20.655041340093472,29.455191519141042,4.5318437,-277.77505,40,20.65653885791747,29.457034756337826,4.428337,-277.2947,0.001303949467207485,0.001843237196784031,-0.103506565,0.48034668
51,0,40,20.50850034481136,29.433097450510157,36.2585,-283.56985,40,20.506007942600558,29.43228308279518,37.025555,-283.75397,-0.002170708083186376,-0.0008143677149767825,0.7670555,-0.18411255
52,0,4294967296,20.623311552343008,29.458708552636057,11.3888445,-276.87137,4294967296,20.623311552343008,29.458708552636057,11.609065,-276.86224,0.0,0.0,0.22022057,0.009124756
53,0,545,20.45802154096008,29.245676969830082,47.65433,-332.79205,545,20.457894999094563,29.24551514896195,47.947174,-332.79715,-0.0001104119372967274,-0.0001618208681328781,0.29284286,-0.0050964355
54,0,141733920768,20.781421893827442,29.444572150339592,-22.800642,-280.55127,545,20.77658795086417,29.445362243036886,-21.530998,-280.3613,-0.004209550567321785,0.0007900926972936873,1.2696438,0.18997192
55,0,40,20.52262068116925,29.35270636857155,33.333023,-304.50723,33,20.539916403428226,29.342935856687788,29.83157,-307.02856,0.015075275310011647,-0.009770511883761657,-3.5014534,-2.5213318
56,0,40,20.767744605991506,29.32444640215731,-19.961123,-311.87375,40,20.76841886441839,29.323946079601022,-19.860212,-312.02142,0.000587859213774058,-0.0005003225562880687,0.10091019,-0.14767456
57,0,40,20.508502924132692,29.363948533940714,36.382286,-301.5787,545,20.517665822169015,29.388692881389595,34.582767,-295.08212,0.007985672019350376,0.024744347448880433,-1.7995186,6.496582
58,0,545,20.613821257138092,29.414760910132447,13.468637,-288.26642,33,20.598203008487914,29.39453826666853,17.102097,-293.5202,-0.01360485824111733,-0.020222643463917223,3.633459,-5.253784
59,0,545,20.448338538991266,29.323513276676632,49.567772,-312.2486,545,20.44818309137081,29.32353644028693,49.84994,-312.20316,-0.0001355298625682987,2.3163610297416426e-05,0.28216934,0.045440674
60,0,40,20.589461977438607,29.30576968926549,18.849453,-316.78223,32,20.61593148249574,29.299955039160977,13.340953,-318.29117,0.023081937460085244,-0.005814650104511543,-5.5085,-1.5089417
61,0,8589935139,20.64486869143537,29.32933029869765,6.7730093,-310.56918,8589935139,20.643252291752617,29.327771873180982,7.3725343,-310.97284,-0.0014092073703176628,-0.0015584255166665173,0.599525,-0.403656
62,0,33,20.708698498490726,29.494481440544288,-7.0534873,-267.63486,33,20.70720943830545,29.49512274019097,-6.5192533,-267.47473,-0.0012960826321416535,0.0006412996466806931,0.53423405,0.16012573
63,0,32,20.6545045329163,29.438329367987805,4.651633,-282.14105,32,20.6552179520275,29.43927114159734,4.721313,-281.89325,0.0006213061556951607,0.0009417736095365115,0.069680214,0.24780273
64,0,40,20.52255241844885,29.307172054469458,33.42662,-316.4619,40,20.522911142348658,29.30793748549754,33.598637,-316.23346,0.0003128101128198594,0.0007654310280820198,0.17201614,0.22845459
65,0,42949673511,20.527281174455066,29.25515459430812,32.48613,-330.1966,545,20.532874522811742,29.287533062308196,31.46519,-321.60416,0.004879928211658299,0.0323784680000756,-1.0209389,8.592438
66,0,141733920768,20.42953988339817,29.302816846854718,53.724823,-317.72256,141733920768,20.42953988339817,29.302816846854718,53.977524,-317.67972,0.0,0.0,0.2527008,0.04284668
67,0,32,20.82387569162095,29.392292325638007,-32.069267,-294.16245,32,20.822647797787397,29.39070025042879,-31.571024,-294.6016,-0.0010698391449466577,-0.0015920752092171142,0.49824333,-0.43914795
68,0,545,20.844518239121747,29.350121482568795,-36.62697,-305.19824,545,20.843437478206397,29.350504448752517,-36.148495,-305.12573,-0.0009420353460798615,0.0003829661837215781,0.47847366,0.072509766
69,0,40,20.70201333771696,29.428549473680107,-5.628631,-284.6776,545,20.68627117662294,29.420531247153964,-1.9942695,-286.75903,-0.013710935790641476,-0.00801822652614348,3.6343617,-2.081421
70,0,32,20.752747774736815,29.37883177933686,-16.651121,-297.62817,32,20.75689932030762,29.381330349118265,-17.313643,-296.99194,0.003617636544945036,0.00249856978140528,-0.66252136,0.63623047
71,0,40,20.463746215560107,29.406428419760168,46.01567,-290.5446,545,20.47195567513464,29.441162995829142,44.383244,-281.4786,0.007151742357759376,0.03473457606897412,-1.6324272,9.065979
72,0,545,20.60014367229834,29.364090457304457,16.472944,-301.47794,4294967296,20.559804812998298,29.373649262308778,25.46022,-298.98233,-0.03515617545629187,0.009558805004321158,8.987276,2.4956055
73,0,40,20.6799079381727,29.370716182960013,-0.84670377,-299.73035,33,20.65983293953332,29.355900734256135,3.7547355,-303.60114,-0.01749465061407641,-0.014815448703878076,4.6014395,-3.8707886
74,0,32,20.723295937948034,29.386257917250617,-10.2564125,-295.68097,545,20.69837797875521,29.38970806795504,-4.616593,-294.7806,-0.021711803424986707,0.0034501507044240043,5.6398196,0.9003601
75,0,33,20.555955329367144,29.406963524811957,26.015072,-290.3222,33,20.556845612677673,29.407053424648602,26.05286,-290.2776,0.0007755739935149538,8.989983664520196e-05,0.03778839,0.0446167
76,0,40,20.773070731768094,29.404240802555783,-21.035107,-291.017,40,20.77626257640978,29.404438210806333,-21.495344,-290.98453,0.0027806631524016196,0.00019740825054981315,-0.4602375,0.032470703
77,0,40,20.854784664076018,29.470311300784537,-38.63146,-273.946,40,20.853276317646227,29.46908376423584,-38.08932,-274.2922,-0.0013131825953998125,-0.0012275365486971168,0.54213715,-0.3461914
78,0,545,20.442537328937714,29.379267489622446,50.687927,-297.65082,33,20.449097690879867,29.37233573639391,49.51709,-299.4136,0.005716642897780874,-0.006931753228535342,-1.1708374,-1.7627869
79,0,32,20.669530966696968,29.328004716036872,1.4087064,-310.9144,32,20.670506842830047,29.325799830494702,1.4443266,-311.49222,0.0008507980604207377,-0.002204885542170132,0.035620213,-0.5778198
80,0,545,20.486894480838682,29.350388061354597,41.108047,-305.14978,545,20.48709783662825,29.349014540909877,41.309677,-305.4766,0.00017725274635503423,-0.0013735204447193894,0.20162964,-0.32681274
81,0,545,20.581940349517517,29.427672028436714,20.362095,-284.92688,545,20.579035474140035,29.428529434511198,21.216621,-284.6891,-0.002530078534061877,0.0008574060744841461,0.8545265,0.23779297
82,0,32,20.474965234675594,29.388909026675726,43.618813,-295.09573,32,20.47675388075739,29.39018814130466,43.462036,-294.72577,0.0015584631087174586,0.0012791146289323763,-0.15677643,0.3699646
83,0,545,20.741323838520763,29.466962135728437,-14.1114025,-274.74182,545,20.74215477612305,29.468851451741923,-14.071523,-274.26532,0.0007234470921585928,0.0018893160134858533,0.0398798,0.47650146
84,0,4294967296,20.632570450805346,29.3839567457455,9.421916,-296.28003,545,20.629121755452676,29.373303377945614,10.413328,-299.0527,-0.0030050249503822267,-0.010653367799886126,0.99141216,-2.7726746
85,0,545,20.786419178413393,29.374366141828386,-23.964382,-298.81158,545,20.78903286130447,29.37347457914551,-24.29508,-299.06546,0.0022776504426170402,-0.0008915626828773782,-0.330698,-0.25387573
86,0,32,20.58801683562961,29.327858885820888,19.142164,-310.9756,32,20.586611301706064,29.329490623333182,19.693356,-310.53238,-0.0012253883514870638,0.0016317375122945066,0.55119133,0.4432068
87,0,4294967296,20.792841679985937,29.518739684332548,-25.184101,-261.42395,4294967296,20.792841679985937,29.518739684332548,-24.976156,-261.4439,0.0,0.0,0.20794487,-0.019958496
88,0,33,20.7922560106907,29.492844947483363,-25.087605,-268.08664,545,20.802252574404246,29.470944352263434,-27.05592,-273.764,0.008701180823481815,-0.02190059521992893,-1.9683151,-5.677368
89,0,40,20.808302204407525,29.497641142039026,-28.545622,-266.86078,545,20.816518332062206,29.49689273598948,-30.107908,-267.08298,0.007151120062301425,-0.0007484060495457356,-1.5622864,-0.22219849
90,0,545,20.536007823772085,29.443883980710197,30.285263,-280.75153,545,20.53706950389031,29.44355154836088,30.279331,-280.81287,0.0009245509264554237,-0.00033243234931745747,-0.0059318542,-0.061340332
91,0,32,20.819608354083915,29.440015299856938,-31.070677,-281.75665,32,20.817833710347678,29.438116949718648,-30.4648,-282.2717,-0.001545485325314987,-0.0018983501382905388,0.6058769,-0.51504517
92,0,545,20.539004745278113,29.301244059663897,29.850368,-318.00854,33,20.552805662864678,29.31751488415722,27.068785,-313.6941,0.012035209508183677,0.016270824493322067,-2.7815838,4.314453
93,0,42949673511,20.714733766377645,29.336330579007374,-8.420611,-308.73407,42949673511,20.71556001803511,29.336768110032576,-8.354602,-308.62625,0.0007202921414190561,0.0004375310252022757,0.06600952,0.1078186
94,0,545,20.478024189474027,29.269335632655263,43.2215,-326.49622,545,20.477259463168373,29.270223822186864,43.646034,-326.2276,-0.0006670945104741472,0.0008881895316008581,0.42453384,0.26861572
95,0,33,20.478389410579915,29.253621752814382,43.17836,-330.65735,8589935139,20.51203228637277,29.248360575272873,36.09641,-331.98456,0.02935223562681807,-0.005261177541509454,-7.081951,-1.3272095
96,0,40,20.74095847993316,29.424586326869466,-14.060981,-285.71548,40,20.740581170556943,29.426230777405227,-13.751249,-285.29956,-0.00032863762806069666,0.0016444505357604555,0.30973148,0.41592407
97,0,545,20.703242887746526,29.454482499052553,-5.8874097,-277.95923,545,20.702993920757187,29.45154845089388,-5.612712,-278.7229,-0.0002167871638178921,-0.0029340481586714873,0.27469778,-0.7636719
98,0,545,20.425581814556885,29.40502150244043,54.30512,-290.95877,545,20.42605860327803,29.40636150915791,54.42912,-290.56607,0.0004153644040539955,0.0013400067174806907,0.12400055,0.3927002
99,0,8589935139,20.671998079836744,29.40373071647318,0.86870956,-291.1241,545,20.65076128230047,29.390900092068357,5.7083387,-294.46216,-0.018501112457778673,-0.012830624404823965,4.839629,-3.3380432
100,0,32,20.555354426904138,29.79852695464437,25.713335,-190.48576,32,20.518990977104057,29.815060371639838,33.59583,-186.33421,-0.031555410105297894,0.016533416995468286,7.882494,4.1515503
101,0,545,20.50418686747051,29.739865005803644,36.704098,-205.2381,545,20.535920220514306,29.743356949457006,30.080135,-204.3195,0.027553644464351313,0.0034919436533620285,-6.6239624,0.91859436
102,0,545,20.443846607650794,29.690708977338016,49.70349,-217.68085,545,20.44319731748019,29.6907029711981,50.015827,-217.64319,-0.0005640460627384988,-6.006139916081565e-06,0.31233597,0.03765869
103,0,545,20.398942208363817,29.596305539496527,59.565323,-241.70308,545,20.397666766773362,29.59528679398835,60.03511,-241.91684,-0.0011090306158028722,-0.0010187455081762664,0.4697876,-0.21376038
104,0,545,20.756967738387715,30.050062922768447,-17.116985,-128.02122,141733920768,20.74608187109908,30.067939842084865,-14.709796,-123.62928,-0.009422678182912652,0.017876919316417883,2.4071894,4.391945
105,0,40,20.68952801499744,30.165924224615843,-2.850226,-99.55105,545,20.67013368727181,30.148729398643425,1.3211175,-103.76539,-0.016767827860474385,-0.017194825972417505,4.1713433,-4.21434
106,0,32,20.558723884891982,29.653462430641333,25.134295,-227.03865,32,20.560752668145458,29.653039423479097,24.880463,-227.1253,0.0017630809282998506,-0.0004230071622366438,-0.25383186,-0.08665466
107,0,40,20.80994430544221,30.04309882522197,-28.326649,-129.74449,545,20.807047369940218,30.067263558179828,-27.597322,-123.8126,-0.002507729466969609,0.024164732957856927,0.72932625,5.9318924
108,0,33,20.718822554412355,29.994735355939245,-9.065674,-141.67049,33,20.719629102136935,29.995425720581196,-9.123722,-141.50723,0.0006985278708707115,0.0006903646419509357,-0.05804825,0.16325378
109,0,545,20.682537547115167,30.026045179847667,-1.3815092,-133.93852,33,20.678039642012433,30.00504648973958,-0.31959274,-139.122,-0.0038942773646794986,-0.02099869010808675,1.0619165,-5.1834717
110,0,40,20.44887700133712,29.827926330388106,48.377617,-183.17912,40,20.448586474908897,29.829745394497646,48.581837,-182.6859,-0.00025203839403796735,0.001819064109540136,0.20421982,0.4932251
111,0,545,20.78064401453489,30.1617616969106,-22.06228,-100.57368,545,20.81055800849651,30.17972985513507,-28.283798,-96.19417,0.025863947803795754,0.017968158224469732,-6.2215176,4.379509
112,0,33,20.411252006099705,29.601349329139154,56.901848,-240.40257,545,20.437661392269025,29.623620820762113,51.355824,-234.66167,0.022962520153399966,0.02227149162295916,-5.5460243,5.740906
113,0,32,20.365283289640864,29.608806308055033,66.78255,-238.55579,40,20.373028027196394,29.58740747347473,65.367805,-243.95448,0.006733421987215948,-0.021398834580303117,-1.4147415,-5.398697
114,0,545,20.718020380711692,30.116719091111875,-8.866885,-111.62267,545,20.718635341486433,30.116840192886116,-8.9078865,-111.60007,0.0005319441703561373,0.0001211017742406284,-0.04100132,0.022605896
115,0,40,20.476905589826462,29.731830886507755,42.550243,-207.27773,32,20.474689256196402,29.70251443736982,43.24388,-214.63965,-0.001924566885968708,-0.02931644913793363,0.69363785,-7.361923
116,0,545,20.430163987157965,29.717873341625843,52.581234,-210.83115,545,20.42844213555978,29.719239749129844,53.114677,-210.44568,-0.001495388363233122,0.001366407504001188,0.53344345,0.38546753
117,0,33,20.51401913043249,29.701542578224185,34.653423,-214.89456,33,20.515506623692637,29.70204731080292,34.505142,-214.73889,0.0012920636807382856,0.0005047325787366219,-0.1482811,0.15567017
118,0,40,20.515325506045183,29.829860889858704,34.21121,-182.66142,545,20.533125469878648,29.854087216581817,30.534544,-176.58119,0.015441581249289639,0.02422632672311309,-3.6766644,6.0802307
119,0,32,20.71112644495643,30.060162208760406,-7.4225945,-125.53046,33,20.691071568138646,30.074437030097577,-3.0856538,-122.0185,-0.017357494123858386,0.014274821337171062,4.336941,3.5119553
120,0,545,20.438753305688216,29.75204677263875,50.675594,-202.21544,33,20.409712597594833,29.765403167286774,57.018703,-198.83456,-0.025212593538114822,0.013356394648024406,6.343109,3.3808746
121,0,33,20.772754978487498,30.023491672340946,-20.470356,-134.57483,33,20.773021420692952,30.022454896578562,-20.420086,-134.84698,0.0002306910775819618,-0.0010367757623832574,0.05027008,-0.27215576
122,0,545,20.851194925314875,30.03034973570006,-37.069443,-132.89696,545,20.863788137974236,30.020007500532394,-39.640026,-135.4842,0.010902705218287938,-0.010342235167666303,-2.5705833,-2.5872498
123,0,33,20.528565925654195,29.764306261354363,31.464424,-199.08003,545,20.54132999548778,29.78010868731325,28.877756,-195.08495,0.011080168471432424,0.015802425958884925,-2.586668,3.9950867
124,0,141733920768,20.82904517484467,30.071102977364994,-32.34424,-122.84867,545,20.847560499575682,30.038026081532283,-36.18797,-131.03134,0.016023240648618816,-0.03307689583271056,-3.843731,-8.182671
125,0,40,20.806548336000308,30.123589723485413,-27.55092,-109.94098,40,20.80461873834063,30.12269625579017,-27.056479,-110.18176,-0.0016689955893358715,-0.0008934676952421228,0.494442,-0.24078369
126,0,40,20.69348132088387,30.052115433303058,-3.6939998,-127.51186,545,20.649908982328125,30.04351555531289,5.621426,-129.62672,-0.03771492009200767,-0.008599877990167926,9.315426,-2.1148605
127,0,545,20.716077660326786,30.164490604060187,-8.447297,-99.9027,545,20.717075533104044,30.161731164904307,-8.57821,-100.585915,0.0008627472176964929,-0.0027594391558807274,-0.13091278,-0.6832123
128,0,32,20.386825205723873,29.746818138468175,61.800186,-203.5746,545,20.38431560623683,29.73359342502473,62.533432,-206.85849,-0.0021789004528355595,-0.01322471344344578,0.73324585,-3.2838898
129,0,33,20.74846601316918,30.14129232576695,-15.283972,-105.592094,545,20.76268874766187,30.149339716823423,-18.198603,-103.63323,0.01229967520020128,0.008047391056472009,-2.914631,1.9588623
130,0,32,20.442023909379397,29.787929771374028,49.910065,-193.19983,32,20.44106655368341,29.787080831847106,50.26992,-193.3735,-0.0008308604116121591,-0.0008489395269215549,0.35985565,-0.17367554
131,0,545,20.789937927829456,30.123219698916266,-24.044348,-110.030396,545,20.769371713276065,30.111031527350505,-19.618998,-113.03801,-0.017788708350028874,-0.012188171565760797,4.42535,-3.0076141
132,0,40,20.83687722406723,30.09857375990942,-33.97648,-116.09127,40,20.83841124001694,30.099687656331042,-34.207573,-115.844864,0.001327175228155825,0.0011138964216215186,-0.23109436,0.24640656
133,0,32,20.43896608450221,29.650619634595085,50.831795,-227.84062,32,20.43790366197724,29.649709983324538,51.243244,-228.03177,-0.0009233070101798113,-0.000909651270546874,0.41144943,-0.19114685
134,0,34359738405,20.461716046335646,29.628977185853547,45.988426,-233.31839,34359738405,20.462095130126883,29.630174166391548,46.09001,-232.97716,0.00032951669335555745,0.0011969805380012133,0.10158539,0.3412323
